,0,1
0,14,8
1,14,9
2,14,10
3,14,11
4,14,12
5,14,13
6,14,14
7,15,8
8,15,9
9,15,10
10,15,11
11,15,12
12,15,13
13,15,14
14,16,8
15,16,9
16,16,10
17,16,11
18,16,12
19,16,13
20,16,14
21,17,8
22,17,9
23,17,10
24,17,11
25,17,12
26,17,13
27,17,14
28,18,8
29,18,9
30,18,10
31,18,11
32,18,12
33,18,13
34,18,14
35,19,8
36,19,9
37,19,10
38,19,11
39,19,12
40,19,13
41,19,14
42,20,8
43,20,9
44,20,10
45,20,11
46,20,12
47,20,13
48,20,14
49,8,15
50,8,16
51,8,17
52,8,18
53,8,19
54,9,15
55,9,16
56,9,17
57,9,18
58,9,19
59,10,15
60,10,16
61,10,17
62,10,18
63,10,19
64,11,15
65,11,16
66,11,17
67,11,18
68,11,19
69,12,15
70,12,16
71,12,17
72,12,18
73,12,19
74,14,9
75,14,10
76,14,11
77,14,12
78,14,13
79,14,14
80,14,15
81,15,9
82,15,10
83,15,11
84,15,12
85,15,13
86,15,14
87,15,15
88,16,9
89,16,10
90,16,11
91,16,12
92,16,13
93,16,14
94,16,15
95,17,9
96,17,10
97,17,11
98,17,12
99,17,13
100,17,14
101,17,15
102,18,9
103,18,10
104,18,11
105,18,12
106,18,13
107,18,14
108,18,15
109,19,9
110,19,10
111,19,11
112,19,12
113,19,13
114,19,14
115,19,15
116,20,9
117,20,10
118,20,11
119,20,12
120,20,13
121,20,14
122,20,15
123,6,2
124,6,3
125,6,4
126,6,5
127,6,6
128,7,2
129,7,3
130,7,4
131,7,5
132,7,6
133,8,2
134,8,3
135,8,4
136,8,5
137,8,6
138,9,2
139,9,3
140,9,4
141,9,5
142,9,6
143,10,2
144,10,3
145,10,4
146,10,5
147,10,6
