,0,1
0,0.5,0.5
1,1.5,1.5
2,2.5,2.5
3,3.5,3.5
4,4.5,4.5
5,5.5,5.5
6,6.5,6.5
7,7.5,7.5
8,8.5,8.5
9,9.5,9.5
10,10.5,10.5
11,11.5,11.5
12,12.5,12.5
13,13.5,13.5
14,14.5,14.5
15,15.5,15.5
16,16.5,16.5
17,17.5,17.5
18,18.5,18.5
19,19.5,19.5
20,20.5,20.5
21,21.5,21.5
22,22.5,22.5
23,23.5,23.5
24,24.5,24.5
25,25.5,25.5
26,26.5,26.5
27,27.5,27.5
28,28.5,28.5
29,29.5,29.5
30,30.5,30.5
31,31.5,31.5
32,32.5,32.5
33,33.5,33.5
34,34.5,34.5
35,35.5,35.5
36,36.5,36.5
37,37.5,37.5
38,38.5,38.5
39,39.5,39.5
40,40.5,40.5
41,41.5,41.5
42,42.5,42.5
43,43.5,43.5
44,44.5,44.5
45,45.5,45.5
46,46.5,46.5
47,47.5,47.5
48,48.5,48.5
49,49.5,49.5
50,50.5,50.5
51,51.5,51.5
52,52.5,52.5
53,53.5,53.5
54,54.5,54.5
55,55.5,55.5
56,56.5,56.5
57,56.5,57.5
58,56.5,58.5
59,56.5,59.5
60,56.5,60.5
61,56.5,61.5
62,56.5,62.5
63,56.5,63.5
64,56.5,64.5
65,56.5,65.5
66,56.5,66.5
67,56.5,67.5
68,56.5,68.5
69,56.5,69.5
70,56.5,70.5
71,56.5,71.5
72,56.5,72.5
73,56.5,73.5
74,56.5,74.5
75,56.5,75.5
76,56.5,76.5
77,56.5,77.5
78,56.5,78.5
79,56.5,79.5
80,56.5,80.5
81,56.5,81.5
82,56.5,82.5
83,56.5,83.5
84,56.5,84.5
85,56.5,85.5
86,56.5,86.5
87,56.5,87.5
88,56.5,88.5
89,56.5,89.5
90,56.5,90.5
91,56.5,91.5
92,56.5,92.5
93,56.5,93.5
94,56.5,94.5
95,56.5,95.5
96,56.5,96.5
97,56.5,97.5
98,56.5,98.5
99,56.5,99.5
100,56.5,100.5
101,57.5,101.5
102,58.5,102.5
103,59.5,103.5
104,60.5,104.5
105,61.5,105.5
106,62.5,106.5
107,63.5,107.5
108,64.5,108.5
109,65.5,109.5
110,66.5,110.5
111,67.5,111.5
112,68.5,112.5
113,69.5,113.5
114,70.5,114.5
115,71.5,115.5
116,72.5,116.5
117,73.5,117.5
118,74.5,118.5
119,75.5,119.5
120,76.5,120.5
121,77.5,121.5
122,78.5,122.5
123,79.5,123.5
124,80.5,124.5
125,81.5,125.5
126,82.5,126.5
127,83.5,127.5
128,84.5,128.5
129,85.5,129.5
130,86.5,130.5
131,87.5,131.5
132,88.5,132.5
133,89.5,133.5
134,90.5,134.5
135,91.5,135.5
136,92.5,136.5
137,93.5,137.5
138,94.5,138.5
139,95.5,139.5
140,96.5,140.5
141,97.5,141.5
142,98.5,142.5
143,99.5,143.5
144,100.5,144.5
145,101.5,145.5
146,102.5,146.5
147,103.5,147.5
148,104.5,148.5
149,105.5,149.5
150,106.5,150.5
151,107.5,151.5
152,108.5,152.5
153,109.5,152.5
154,110.5,152.5
155,111.5,152.5
156,112.5,152.5
157,113.5,152.5
158,114.5,152.5
159,115.5,152.5
160,116.5,152.5
161,117.5,152.5
162,118.5,152.5
163,119.5,152.5
164,120.5,152.5
165,121.5,152.5
166,122.5,152.5
167,123.5,152.5
168,124.5,152.5
169,125.5,152.5
170,126.5,152.5
171,127.5,152.5
172,128.5,152.5
173,129.5,152.5
174,130.5,152.5
175,131.5,152.5
176,132.5,152.5
177,133.5,152.5
178,134.5,152.5
179,135.5,152.5
180,136.5,152.5
181,137.5,152.5
182,138.5,152.5
183,139.5,152.5
184,140.5,152.5
185,141.5,152.5
186,142.5,152.5
187,143.5,152.5
188,144.5,152.5
189,145.5,152.5
190,146.5,152.5
191,147.5,152.5
192,148.5,152.5
193,149.5,152.5
194,150.5,152.5
195,151.5,152.5
196,152.5,152.5
197,153.5,152.5
198,154.5,152.5
199,155.5,152.5
200,156.5,152.5
201,157.5,152.5
202,158.5,152.5
203,159.5,152.5
204,160.5,152.5
205,161.5,152.5
206,162.5,152.5
207,163.5,152.5
208,164.5,152.5
209,165.5,152.5
210,166.5,152.5
211,167.5,151.5
212,168.5,150.5
213,169.5,149.5
214,170.5,148.5
215,171.5,147.5
216,172.5,146.5
217,173.5,145.5
218,174.5,144.5
219,175.5,143.5
220,176.5,142.5
221,177.5,141.5
222,178.5,140.5
223,179.5,139.5
224,180.5,138.5
225,181.5,137.5
226,182.5,136.5
227,183.5,135.5
228,184.5,134.5
229,185.5,133.5
230,186.5,132.5
231,187.5,131.5
232,188.5,130.5
233,189.5,129.5
234,190.5,128.5
235,191.5,127.5
236,192.5,126.5
237,193.5,125.5
238,194.5,124.5
239,195.5,123.5
240,196.5,122.5
241,197.5,121.5
242,198.5,120.5
243,198.5,119.5
